Flight Information:     	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Launch Date:            	                       	Monday, August 21, 2017	   	                        	Launch Time:    	           	11:46:04 AM 	     	End of Ascent:	     	           	1:16:46 AM	        
Station name:           	                       	                       	   	                        	Number of sonde:	           	00627807    	     	              	     	           	          	        
Ground values:          	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Pressure:               	                       	861.3 hPa              	   	                        	Temperature:    	           	15.2 °C     	     	Humidity:     	     	           	94 %      	        
Wind Direction:         	                       	25 °                   	   	                        	Wind Speed:     	           	1 m/s       	     	Cloud group:  	     	           	9////     	        
Position:               	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Longitude:              	                       	-104.454 °             	   	                        	Latitude:       	           	42.277 °    	     	Altitude:     	     	           	1389 m    	        
Staff:                  	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Company:                	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Operator:               	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Events:                 	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Highest Point:          	                       	26.4 hPa               	   	                        	25106 m         	           	            	     	              	     	           	          	        
Tropopauses:            	                       	1.: 200.1 hPa          	   	                        	2.: 114.2 hPa   	           	            	     	              	     	           	          	        
Max Winds:              	                       	1.: 154.8 hPa          	   	                        	                	           	            	     	              	     	           	          	        
Remarks:                	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
                        	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Profile Data:           	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Time                    	P                      	T                      	Hu 	Ws                      	Wd              	Long.      	Lat.        	Alt  	Geopot        	Dewp.	Virt. Temp 	Rs        	D       
[sec]                   	[hPa]                  	[°C]                   	[%]	[m/s]                   	[°]             	[°]        	[°]         	[m]  	[m]           	[°C] 	[°C]       	[m/s]     	[kg/m3] 
1330                    	371.6                  	-25.5                  	41 	10.7                    	267             	-104.317358	42.288357   	8115 	8103          	-34.0	-25.4      	4.8       	0.522787
1331                    	371.4                  	-25.5                  	41 	10.7                    	267             	-104.317230	42.288363   	8120 	8107          	-34.0	-25.5      	4.8       	0.522530
1332                    	371.1                  	-25.6                  	41 	10.7                    	267             	-104.317103	42.288370   	8125 	8112          	-34.0	-25.5      	5.0       	0.522273
1333                    	370.9                  	-25.6                  	41 	10.7                    	267             	-104.316977	42.288378   	8130 	8118          	-34.1	-25.5      	5.1       	0.521994
1334                    	370.6                  	-25.6                  	41 	10.7                    	267             	-104.316851	42.288386   	8135 	8123          	-34.1	-25.6      	5.1       	0.521715
1335                    	370.3                  	-25.7                  	41 	10.7                    	267             	-104.316725	42.288394   	8141 	8128          	-34.2	-25.6      	5.1       	0.521440
1336                    	370.1                  	-25.7                  	41 	10.7                    	267             	-104.316599	42.288402   	8146 	8133          	-34.2	-25.7      	5.1       	0.521166
1337                    	369.8                  	-25.8                  	41 	10.7                    	267             	-104.316473	42.288411   	8151 	8138          	-34.2	-25.7      	5.1       	0.520893
1338                    	369.5                  	-25.8                  	41 	10.7                    	267             	-104.316346	42.288419   	8156 	8143          	-34.3	-25.8      	5.1       	0.520619
1339                    	369.3                  	-25.9                  	42 	10.7                    	267             	-104.316220	42.288427   	8161 	8148          	-34.3	-25.8      	5.1       	0.520346
1340                    	369.0                  	-25.9                  	42 	10.7                    	267             	-104.316094	42.288435   	8166 	8153          	-34.3	-25.9      	5.1       	0.520072
1341                    	368.8                  	-26.0                  	42 	10.7                    	267             	-104.315968	42.288443   	8171 	8158          	-34.4	-25.9      	5.1       	0.519799
1342                    	368.5                  	-26.0                  	42 	10.7                    	267             	-104.315842	42.288451   	8176 	8163          	-34.4	-25.9      	5.1       	0.519526
1343                    	368.2                  	-26.0                  	42 	10.7                    	267             	-104.315715	42.288459   	8182 	8169          	-34.4	-26.0      	5.1       	0.519253
1344                    	368.0                  	-26.1                  	42 	10.7                    	267             	-104.315589	42.288467   	8187 	8174          	-34.5	-26.0      	5.1       	0.518980
1345                    	367.7                  	-26.1                  	42 	10.7                    	267             	-104.315463	42.288475   	8192 	8179          	-34.5	-26.1      	5.1       	0.518707
1346                    	367.5                  	-26.2                  	42 	10.7                    	267             	-104.315337	42.288483   	8197 	8184          	-34.5	-26.1      	5.1       	0.518434
1347                    	367.2                  	-26.2                  	42 	10.7                    	267             	-104.315211	42.288491   	8202 	8189          	-34.6	-26.2      	5.1       	0.518161
1348                    	366.9                  	-26.3                  	42 	10.7                    	267             	-104.315084	42.288500   	8207 	8194          	-34.6	-26.2      	5.1       	0.517888
1349                    	366.7                  	-26.3                  	42 	10.7                    	267             	-104.314958	42.288508   	8212 	8199          	-34.6	-26.3      	5.1       	0.517613
1350                    	366.4                  	-26.4                  	42 	10.6                    	267             	-104.314832	42.288516   	8217 	8204          	-34.6	-26.3      	5.1       	0.517337
1351                    	366.2                  	-26.4                  	42 	10.6                    	267             	-104.314706	42.288524   	8223 	8209          	-34.7	-26.3      	5.1       	0.517062
1352                    	365.9                  	-26.4                  	42 	10.6                    	266             	-104.314580	42.288532   	8228 	8215          	-34.7	-26.4      	5.1       	0.516787
1353                    	365.7                  	-26.5                  	42 	10.6                    	266             	-104.314453	42.288540   	8233 	8220          	-34.7	-26.4      	5.1       	0.516512
1354                    	365.4                  	-26.5                  	42 	10.5                    	266             	-104.314327	42.288548   	8238 	8225          	-34.8	-26.5      	5.1       	0.516237
1355                    	365.1                  	-26.6                  	42 	10.5                    	266             	-104.314201	42.288556   	8243 	8230          	-34.8	-26.5      	5.1       	0.515962
1356                    	364.9                  	-26.6                  	42 	10.5                    	265             	-104.314075	42.288564   	8248 	8235          	-34.8	-26.6      	5.1       	0.515688
1357                    	364.6                  	-26.7                  	42 	10.5                    	265             	-104.313949	42.288572   	8253 	8240          	-34.9	-26.6      	5.1       	0.515411
1358                    	364.4                  	-26.7                  	42 	10.4                    	265             	-104.313822	42.288581   	8258 	8245          	-34.9	-26.6      	5.1       	0.515135
1359                    	364.1                  	-26.7                  	42 	10.4                    	264             	-104.313696	42.288589   	8264 	8250          	-34.9	-26.7      	5.1       	0.514859
1360                    	363.8                  	-26.8                  	42 	10.4                    	264             	-104.313570	42.288597   	8269 	8255          	-35.0	-26.7      	5.1       	0.514583
1361                    	363.6                  	-26.8                  	42 	10.4                    	264             	-104.313444	42.288605   	8274 	8261          	-35.0	-26.8      	5.1       	0.514307
1362                    	363.3                  	-26.9                  	42 	10.4                    	263             	-104.313318	42.288613   	8279 	8266          	-35.0	-26.8      	5.3       	0.514028
1363                    	363.0                  	-26.9                  	42 	10.3                    	263             	-104.313194	42.288623   	8285 	8272          	-35.1	-26.9      	5.9       	0.513695
1364                    	362.7                  	-27.0                  	43 	10.3                    	263             	-104.313071	42.288634   	8291 	8278          	-35.1	-26.9      	5.9       	0.513363
1365                    	362.4                  	-27.0                  	43 	10.3                    	262             	-104.312947	42.288644   	8297 	8283          	-35.1	-26.9      	5.9       	0.513031
1366                    	362.1                  	-27.0                  	43 	10.3                    	262             	-104.312823	42.288654   	8303 	8289          	-35.2	-27.0      	5.9       	0.512699
1367                    	361.9                  	-27.1                  	43 	10.2                    	262             	-104.312700	42.288664   	8308 	8295          	-35.2	-27.0      	5.9       	0.512367
1368                    	361.6                  	-27.1                  	43 	10.2                    	261             	-104.312576	42.288674   	8314 	8301          	-35.2	-27.1      	5.9       	0.512035
1369                    	361.3                  	-27.2                  	43 	10.2                    	261             	-104.312452	42.288684   	8320 	8307          	-35.3	-27.1      	5.9       	0.511704
1370                    	361.0                  	-27.2                  	43 	10.2                    	261             	-104.312329	42.288695   	8326 	8313          	-35.3	-27.1      	5.9       	0.511372
1371                    	360.7                  	-27.2                  	43 	10.2                    	261             	-104.312205	42.288705   	8332 	8319          	-35.3	-27.2      	5.9       	0.511041
1372                    	360.4                  	-27.3                  	43 	10.2                    	261             	-104.312081	42.288715   	8338 	8325          	-35.3	-27.2      	5.9       	0.510710
1373                    	360.1                  	-27.3                  	43 	10.2                    	261             	-104.311958	42.288725   	8344 	8330          	-35.4	-27.3      	5.9       	0.510379
1374                    	359.8                  	-27.4                  	43 	10.2                    	261             	-104.311834	42.288735   	8350 	8336          	-35.4	-27.3      	5.9       	0.510048
1375                    	359.5                  	-27.4                  	43 	10.2                    	261             	-104.311710	42.288745   	8356 	8342          	-35.4	-27.4      	5.9       	0.509724
1376                    	359.2                  	-27.5                  	43 	10.2                    	262             	-104.311587	42.288755   	8361 	8348          	-35.5	-27.4      	5.9       	0.509407
1377                    	358.9                  	-27.5                  	43 	10.2                    	262             	-104.311463	42.288766   	8367 	8354          	-35.5	-27.4      	5.9       	0.509091
1378                    	358.6                  	-27.6                  	43 	10.2                    	262             	-104.311339	42.288776   	8373 	8360          	-35.6	-27.5      	5.9       	0.508775
1379                    	358.3                  	-27.6                  	43 	10.2                    	262             	-104.311216	42.288786   	8379 	8366          	-35.6	-27.5      	5.9       	0.508459
1380                    	358.0                  	-27.6                  	43 	10.2                    	262             	-104.311092	42.288796   	8385 	8371          	-35.7	-27.6      	5.9       	0.508143
1381                    	357.7                  	-27.7                  	43 	10.2                    	262             	-104.310968	42.288806   	8391 	8377          	-35.8	-27.6      	5.9       	0.507827
1382                    	357.4                  	-27.7                  	43 	10.1                    	262             	-104.310845	42.288816   	8397 	8383          	-35.8	-27.7      	5.9       	0.507511
1383                    	357.2                  	-27.8                  	42 	10.1                    	263             	-104.310721	42.288827   	8403 	8389          	-35.9	-27.7      	5.9       	0.507196
1384                    	356.9                  	-27.8                  	42 	10.1                    	263             	-104.310597	42.288837   	8409 	8395          	-36.0	-27.8      	5.9       	0.506880
1385                    	356.6                  	-27.9                  	42 	10.1                    	263             	-104.310473	42.288847   	8414 	8401          	-36.0	-27.8      	5.9       	0.506565
1386                    	356.3                  	-27.9                  	42 	10.1                    	263             	-104.310350	42.288857   	8420 	8407          	-36.1	-27.9      	5.9       	0.506250
1387                    	356.0                  	-28.0                  	42 	10.1                    	263             	-104.310226	42.288867   	8426 	8413          	-36.2	-27.9      	5.9       	0.505937
1388                    	355.7                  	-28.0                  	42 	10.1                    	263             	-104.310102	42.288877   	8432 	8418          	-36.2	-28.0      	5.9       	0.505624
1389                    	355.4                  	-28.1                  	42 	10.1                    	264             	-104.309979	42.288888   	8438 	8424          	-36.3	-28.0      	5.9       	0.505306
1390                    	355.1                  	-28.1                  	42 	10.1                    	264             	-104.309855	42.288898   	8444 	8430          	-36.4	-28.1      	5.9       	0.504989
1391                    	354.8                  	-28.2                  	42 	10.2                    	264             	-104.309731	42.288908   	8450 	8436          	-36.4	-28.1      	5.9       	0.504672
1392                    	354.5                  	-28.2                  	42 	10.3                    	264             	-104.309603	42.288918   	8456 	8442          	-36.5	-28.2      	5.7       	0.504356
1393                    	354.3                  	-28.3                  	42 	10.4                    	264             	-104.309458	42.288928   	8461 	8447          	-36.5	-28.2      	5.2       	0.504084
1394                    	354.0                  	-28.3                  	42 	10.5                    	265             	-104.309313	42.288939   	8466 	8452          	-36.6	-28.3      	5.2       	0.503812
1395                    	353.8                  	-28.4                  	42 	10.6                    	265             	-104.309168	42.288949   	8471 	8457          	-36.6	-28.3      	5.2       	0.503541
1396                    	353.5                  	-28.4                  	42 	10.7                    	265             	-104.309022	42.288959   	8476 	8463          	-36.6	-28.3      	5.2       	0.503270
1397                    	353.3                  	-28.4                  	42 	10.8                    	265             	-104.308877	42.288969   	8482 	8468          	-36.7	-28.4      	5.2       	0.502999
1398                    	353.0                  	-28.5                  	42 	10.8                    	266             	-104.308732	42.288980   	8487 	8473          	-36.7	-28.4      	5.2       	0.502728
1399                    	352.8                  	-28.5                  	42 	10.9                    	266             	-104.308587	42.288990   	8492 	8478          	-36.7	-28.5      	5.2       	0.502457
1400                    	352.5                  	-28.6                  	42 	11.0                    	266             	-104.308442	42.289000   	8497 	8483          	-36.8	-28.5      	5.2       	0.502186
1401                    	352.2                  	-28.6                  	42 	11.1                    	266             	-104.308297	42.289010   	8503 	8489          	-36.8	-28.6      	5.2       	0.501915
1402                    	352.0                  	-28.7                  	42 	11.2                    	266             	-104.308152	42.289021   	8508 	8494          	-36.9	-28.6      	5.2       	0.501632
1403                    	351.7                  	-28.7                  	42 	11.3                    	267             	-104.308006	42.289031   	8513 	8499          	-36.9	-28.7      	5.2       	0.501340
1404                    	351.5                  	-28.7                  	42 	11.4                    	267             	-104.307861	42.289041   	8518 	8504          	-36.9	-28.7      	5.2       	0.501047
1405                    	351.2                  	-28.8                  	42 	11.5                    	267             	-104.307716	42.289051   	8523 	8509          	-37.0	-28.7      	5.2       	0.500755
1406                    	351.0                  	-28.8                  	42 	11.6                    	267             	-104.307571	42.289062   	8529 	8515          	-37.0	-28.8      	5.2       	0.500462
1407                    	350.7                  	-28.8                  	42 	11.7                    	267             	-104.307426	42.289072   	8534 	8520          	-37.1	-28.8      	5.2       	0.500170
1408                    	350.5                  	-28.9                  	41 	11.8                    	268             	-104.307281	42.289082   	8539 	8525          	-37.1	-28.8      	5.2       	0.499878
1409                    	350.2                  	-28.9                  	41 	11.9                    	268             	-104.307136	42.289092   	8544 	8530          	-37.2	-28.9      	5.2       	0.499587
1410                    	349.9                  	-28.9                  	41 	11.9                    	268             	-104.306990	42.289103   	8549 	8535          	-37.3	-28.9      	5.2       	0.499295
1411                    	349.7                  	-29.0                  	41 	12.0                    	268             	-104.306845	42.289113   	8555 	8541          	-37.3	-28.9      	5.2       	0.499003
1412                    	349.4                  	-29.0                  	41 	12.0                    	267             	-104.306700	42.289123   	8560 	8546          	-37.4	-29.0      	5.2       	0.498712
1413                    	349.2                  	-29.0                  	41 	12.0                    	267             	-104.306555	42.289133   	8565 	8551          	-37.4	-29.0      	5.2       	0.498420
1414                    	348.9                  	-29.1                  	41 	12.0                    	266             	-104.306410	42.289144   	8570 	8556          	-37.5	-29.0      	5.2       	0.498129
1415                    	348.7                  	-29.1                  	41 	12.1                    	266             	-104.306265	42.289154   	8576 	8561          	-37.6	-29.1      	5.2       	0.497835
1416                    	348.4                  	-29.1                  	40 	12.1                    	266             	-104.306120	42.289164   	8581 	8567          	-37.6	-29.1      	5.2       	0.497516
1417                    	348.2                  	-29.2                  	40 	12.1                    	265             	-104.305974	42.289174   	8586 	8572          	-37.7	-29.1      	5.2       	0.497198
1418                    	347.9                  	-29.2                  	40 	12.2                    	265             	-104.305829	42.289185   	8591 	8577          	-37.7	-29.1      	5.2       	0.496880
1419                    	347.7                  	-29.2                  	40 	12.2                    	265             	-104.305684	42.289195   	8596 	8582          	-37.8	-29.2      	5.2       	0.496562
1420                    	347.4                  	-29.2                  	39 	12.2                    	264             	-104.305539	42.289205   	8602 	8587          	-37.9	-29.2      	5.2       	0.496244
1421                    	347.1                  	-29.2                  	39 	12.2                    	264             	-104.305394	42.289215   	8607 	8593          	-38.0	-29.2      	5.2       	0.495927
1422                    	346.9                  	-29.3                  	39 	12.3                    	264             	-104.305249	42.289226   	8612 	8598          	-38.2	-29.2      	5.2       	0.495610
1423                    	346.7                  	-29.3                  	38 	12.3                    	263             	-104.305095	42.289244   	8617 	8603          	-38.3	-29.2      	4.6       	0.495345
1424                    	346.5                  	-29.3                  	38 	12.3                    	263             	-104.304938	42.289264   	8621 	8607          	-38.4	-29.3      	4.4       	0.495081
1425                    	346.2                  	-29.3                  	37 	12.4                    	263             	-104.304781	42.289285   	8626 	8611          	-38.5	-29.3      	4.4       	0.494817
1426                    	346.0                  	-29.4                  	37 	12.4                    	262             	-104.304624	42.289306   	8630 	8616          	-38.6	-29.3      	4.4       	0.494553
1427                    	345.8                  	-29.4                  	37 	12.4                    	262             	-104.304467	42.289326   	8634 	8620          	-38.7	-29.3      	4.4       	0.494289
1428                    	345.6                  	-29.4                  	36 	12.5                    	262             	-104.304309	42.289347   	8639 	8625          	-38.8	-29.4      	4.4       	0.494026
1429                    	345.4                  	-29.4                  	36 	12.5                    	261             	-104.304152	42.289368   	8643 	8629          	-38.9	-29.4      	4.4       	0.493766
1430                    	345.2                  	-29.4                  	35 	12.5                    	261             	-104.303995	42.289388   	8648 	8633          	-39.1	-29.4      	4.4       	0.493507
1431                    	345.0                  	-29.5                  	35 	12.6                    	261             	-104.303838	42.289409   	8652 	8638          	-39.2	-29.4      	4.4       	0.493248
1432                    	344.8                  	-29.5                  	35 	12.6                    	261             	-104.303681	42.289430   	8656 	8642          	-39.3	-29.5      	4.4       	0.492990
1433                    	344.5                  	-29.5                  	35 	12.6                    	261             	-104.303524	42.289451   	8661 	8647          	-39.4	-29.5      	4.4       	0.492731
1434                    	344.3                  	-29.5                  	34 	12.7                    	260             	-104.303367	42.289471   	8665 	8651          	-39.4	-29.5      	4.4       	0.492473
1435                    	344.1                  	-29.6                  	34 	12.7                    	260             	-104.303210	42.289492   	8670 	8655          	-39.5	-29.5      	4.4       	0.492215
1436                    	343.9                  	-29.6                  	34 	12.7                    	260             	-104.303053	42.289513   	8674 	8660          	-39.6	-29.5      	4.4       	0.491957
1437                    	343.7                  	-29.6                  	34 	12.8                    	260             	-104.302896	42.289533   	8679 	8664          	-39.7	-29.6      	4.4       	0.491699
1438                    	343.5                  	-29.6                  	33 	12.8                    	260             	-104.302739	42.289554   	8683 	8669          	-39.8	-29.6      	4.4       	0.491441
1439                    	343.3                  	-29.6                  	33 	12.9                    	260             	-104.302581	42.289575   	8687 	8673          	-39.9	-29.6      	4.4       	0.491183
1440                    	343.1                  	-29.7                  	33 	12.9                    	260             	-104.302424	42.289595   	8692 	8677          	-39.9	-29.6      	4.4       	0.490926
1441                    	342.8                  	-29.7                  	33 	12.9                    	260             	-104.302267	42.289616   	8696 	8682          	-40.0	-29.7      	4.4       	0.490668
1442                    	342.6                  	-29.7                  	32 	13.0                    	260             	-104.302110	42.289637   	8701 	8686          	-40.1	-29.7      	4.4       	0.490414
1443                    	342.4                  	-29.7                  	32 	13.0                    	260             	-104.301953	42.289658   	8705 	8691          	-40.2	-29.7      	4.4       	0.490177
1444                    	342.2                  	-29.8                  	32 	13.0                    	260             	-104.301796	42.289678   	8710 	8695          	-40.3	-29.7      	4.4       	0.489940
1445                    	342.0                  	-29.8                  	32 	13.1                    	259             	-104.301639	42.289699   	8714 	8699          	-40.4	-29.8      	4.4       	0.489704
1446                    	341.8                  	-29.8                  	31 	13.1                    	259             	-104.301482	42.289720   	8718 	8704          	-40.6	-29.8      	4.4       	0.489467
1447                    	341.6                  	-29.9                  	31 	13.2                    	259             	-104.301325	42.289740   	8723 	8708          	-40.7	-29.8      	4.4       	0.489230
1448                    	341.4                  	-29.9                  	30 	13.2                    	259             	-104.301168	42.289761   	8727 	8713          	-40.9	-29.9      	4.4       	0.488994
1449                    	341.2                  	-29.9                  	30 	13.2                    	259             	-104.301011	42.289782   	8732 	8717          	-41.0	-29.9      	4.4       	0.488757
1450                    	340.9                  	-30.0                  	29 	13.3                    	259             	-104.300854	42.289802   	8736 	8721          	-41.2	-29.9      	4.4       	0.488521
1451                    	340.7                  	-30.0                  	29 	13.3                    	259             	-104.300696	42.289823   	8740 	8726          	-41.3	-30.0      	4.4       	0.488285
1452                    	340.5                  	-30.0                  	29 	13.4                    	259             	-104.300539	42.289844   	8745 	8730          	-41.5	-30.0      	4.4       	0.488049
1453                    	340.3                  	-30.1                  	28 	13.4                    	260             	-104.300382	42.289865   	8749 	8735          	-41.7	-30.0      	4.4       	0.487800
1454                    	340.1                  	-30.1                  	28 	13.4                    	260             	-104.300218	42.289883   	8754 	8739          	-41.8	-30.1      	4.5       	0.487552
1455                    	339.9                  	-30.1                  	27 	13.5                    	260             	-104.300045	42.289898   	8758 	8744          	-42.0	-30.1      	4.7       	0.487304
1456                    	339.6                  	-30.2                  	27 	13.5                    	260             	-104.299872	42.289914   	8763 	8748          	-42.2	-30.2      	4.7       	0.487064
1457                    	339.4                  	-30.2                  	26 	13.5                    	260             	-104.299698	42.289929   	8768 	8753          	-42.4	-30.2      	4.7       	0.486824
1458                    	339.2                  	-30.3                  	26 	13.6                    	260             	-104.299525	42.289945   	8772 	8758          	-42.5	-30.2      	4.7       	0.486585
1459                    	339.0                  	-30.3                  	26 	13.6                    	261             	-104.299352	42.289960   	8777 	8762          	-42.7	-30.3      	4.7       	0.486341
1460                    	338.8                  	-30.3                  	25 	13.7                    	261             	-104.299179	42.289975   	8782 	8767          	-42.8	-30.3      	4.7       	0.486097
1461                    	338.5                  	-30.4                  	25 	13.7                    	261             	-104.299006	42.289991   	8786 	8772          	-42.9	-30.3      	4.7       	0.485854
1462                    	338.3                  	-30.4                  	25 	13.7                    	261             	-104.298833	42.290006   	8791 	8776          	-43.0	-30.4      	4.7       	0.485610
1463                    	338.1                  	-30.4                  	25 	13.8                    	261             	-104.298659	42.290022   	8796 	8781          	-43.1	-30.4      	4.7       	0.485367
1464                    	337.9                  	-30.5                  	25 	13.8                    	261             	-104.298486	42.290037   	8800 	8786          	-43.2	-30.5      	4.7       	0.485124
1465                    	337.7                  	-30.5                  	24 	13.9                    	262             	-104.298313	42.290053   	8805 	8790          	-43.3	-30.5      	4.7       	0.484881
1466                    	337.4                  	-30.5                  	24 	13.9                    	262             	-104.298140	42.290068   	8810 	8795          	-43.4	-30.5      	4.7       	0.484638
1467                    	337.2                  	-30.6                  	24 	13.9                    	262             	-104.297967	42.290083   	8814 	8800          	-43.5	-30.6      	4.7       	0.484394
1468                    	337.0                  	-30.6                  	24 	14.0                    	262             	-104.297794	42.290099   	8819 	8804          	-43.6	-30.6      	4.7       	0.484152
1469                    	336.8                  	-30.7                  	24 	14.0                    	262             	-104.297620	42.290114   	8824 	8809          	-43.7	-30.6      	4.7       	0.483910
1470                    	336.6                  	-30.7                  	23 	14.1                    	262             	-104.297447	42.290130   	8828 	8813          	-43.9	-30.7      	4.7       	0.483671
1471                    	336.3                  	-30.7                  	23 	14.1                    	262             	-104.297274	42.290145   	8833 	8818          	-44.0	-30.7      	4.7       	0.483431
1472                    	336.1                  	-30.8                  	23 	14.1                    	262             	-104.297101	42.290161   	8838 	8823          	-44.1	-30.8      	4.7       	0.483191
1473                    	335.9                  	-30.8                  	23 	14.2                    	263             	-104.296928	42.290176   	8842 	8827          	-44.1	-30.8      	4.7       	0.482952
1474                    	335.7                  	-30.9                  	23 	14.2                    	263             	-104.296755	42.290191   	8847 	8832          	-44.2	-30.8      	4.7       	0.482712
1475                    	335.5                  	-30.9                  	23 	14.3                    	263             	-104.296581	42.290207   	8852 	8837          	-44.2	-30.9      	4.7       	0.482473
1476                    	335.2                  	-30.9                  	23 	14.3                    	263             	-104.296408	42.290222   	8856 	8841          	-44.3	-30.9      	4.7       	0.482234
1477                    	335.0                  	-31.0                  	23 	14.3                    	263             	-104.296235	42.290238   	8861 	8846          	-44.4	-30.9      	4.7       	0.481995
1478                    	334.8                  	-31.0                  	23 	14.4                    	263             	-104.296062	42.290253   	8866 	8851          	-44.4	-31.0      	4.7       	0.481755
1479                    	334.6                  	-31.0                  	22 	14.4                    	263             	-104.295889	42.290269   	8870 	8855          	-44.5	-31.0      	4.7       	0.481516
1480                    	334.4                  	-31.1                  	22 	14.5                    	263             	-104.295716	42.290284   	8875 	8860          	-44.5	-31.1      	4.7       	0.481277
1481                    	334.1                  	-31.1                  	22 	14.5                    	263             	-104.295542	42.290299   	8880 	8865          	-44.6	-31.1      	4.7       	0.481039
1482                    	333.9                  	-31.2                  	22 	14.6                    	263             	-104.295369	42.290315   	8884 	8869          	-44.7	-31.1      	4.7       	0.480800
1483                    	333.7                  	-31.2                  	22 	14.6                    	263             	-104.295196	42.290330   	8889 	8874          	-44.7	-31.2      	4.7       	0.480570
1484                    	333.5                  	-31.2                  	22 	14.6                    	263             	-104.295023	42.290346   	8894 	8878          	-44.8	-31.2      	4.7       	0.480339
1485                    	333.3                  	-31.3                  	22 	14.7                    	263             	-104.294840	42.290363   	8898 	8883          	-44.8	-31.3      	4.5       	0.480109
1486                    	333.1                  	-31.3                  	22 	14.7                    	264             	-104.294654	42.290382   	8902 	8887          	-44.9	-31.3      	4.4       	0.479879
1487                    	332.9                  	-31.3                  	22 	14.8                    	264             	-104.294467	42.290401   	8907 	8892          	-44.9	-31.3      	4.4       	0.479649
1488                    	332.7                  	-31.4                  	22 	14.8                    	264             	-104.294281	42.290419   	8911 	8896          	-45.0	-31.4      	4.4       	0.479419
1489                    	332.5                  	-31.4                  	22 	14.8                    	264             	-104.294095	42.290438   	8916 	8900          	-45.0	-31.4      	4.4       	0.479196
1490                    	332.2                  	-31.5                  	22 	14.9                    	264             	-104.293908	42.290457   	8920 	8905          	-45.1	-31.4      	4.4       	0.478972
1491                    	332.0                  	-31.5                  	22 	14.9                    	264             	-104.293722	42.290475   	8924 	8909          	-45.1	-31.5      	4.4       	0.478749
1492                    	331.8                  	-31.5                  	22 	15.0                    	264             	-104.293535	42.290494   	8929 	8914          	-45.2	-31.5      	4.4       	0.478526
1493                    	331.6                  	-31.6                  	22 	15.0                    	263             	-104.293349	42.290513   	8933 	8918          	-45.2	-31.5      	4.4       	0.478303
1494                    	331.4                  	-31.6                  	22 	15.0                    	263             	-104.293163	42.290531   	8938 	8922          	-45.2	-31.6      	4.4       	0.478080
1495                    	331.2                  	-31.6                  	22 	15.1                    	263             	-104.292976	42.290550   	8942 	8927          	-45.3	-31.6      	4.4       	0.477857
1496                    	331.0                  	-31.7                  	22 	15.1                    	263             	-104.292790	42.290569   	8946 	8931          	-45.3	-31.7      	4.4       	0.477637
1497                    	330.8                  	-31.7                  	22 	15.1                    	263             	-104.292603	42.290587   	8951 	8936          	-45.4	-31.7      	4.4       	0.477420
1498                    	330.6                  	-31.8                  	22 	15.2                    	263             	-104.292417	42.290606   	8955 	8940          	-45.4	-31.7      	4.4       	0.477204
1499                    	330.4                  	-31.8                  	22 	15.2                    	263             	-104.292231	42.290625   	8960 	8944          	-45.5	-31.8      	4.4       	0.476987
1500                    	330.2                  	-31.8                  	22 	15.3                    	263             	-104.292044	42.290643   	8964 	8949          	-45.5	-31.8      	4.4       	0.476770
1501                    	330.0                  	-31.9                  	22 	15.3                    	263             	-104.291858	42.290662   	8968 	8953          	-45.5	-31.9      	4.4       	0.476553
1502                    	329.8                  	-31.9                  	22 	15.3                    	263             	-104.291672	42.290681   	8973 	8957          	-45.5	-31.9      	4.4       	0.476337
1503                    	329.6                  	-32.0                  	22 	15.4                    	262             	-104.291485	42.290699   	8977 	8962          	-45.5	-31.9      	4.4       	0.476120
1504                    	329.4                  	-32.0                  	22 	15.4                    	262             	-104.291299	42.290718   	8982 	8966          	-45.5	-32.0      	4.4       	0.475904
1505                    	329.2                  	-32.0                  	22 	15.5                    	262             	-104.291112	42.290737   	8986 	8971          	-45.5	-32.0      	4.4       	0.475687
1506                    	329.0                  	-32.1                  	22 	15.5                    	262             	-104.290926	42.290755   	8990 	8975          	-45.5	-32.1      	4.4       	0.475471
1507                    	328.8                  	-32.1                  	22 	15.5                    	262             	-104.290740	42.290774   	8995 	8979          	-45.5	-32.1      	4.4       	0.475255
1508                    	328.6                  	-32.2                  	22 	15.6                    	262             	-104.290553	42.290793   	8999 	8984          	-45.5	-32.1      	4.4       	0.475038
1509                    	328.4                  	-32.2                  	22 	15.6                    	262             	-104.290367	42.290811   	9004 	8988          	-45.6	-32.2      	4.4       	0.474822
1510                    	328.1                  	-32.2                  	22 	15.7                    	262             	-104.290180	42.290830   	9008 	8993          	-45.6	-32.2      	4.4       	0.474612
1511                    	327.9                  	-32.3                  	23 	15.7                    	262             	-104.289994	42.290849   	9012 	8997          	-45.6	-32.3      	4.4       	0.474402
1512                    	327.7                  	-32.3                  	23 	15.7                    	262             	-104.289808	42.290867   	9017 	9001          	-45.6	-32.3      	4.4       	0.474192
